fecha,rubro,especie,variedad,procedencia,envase,kg_bulto,calidad,tamano,grado,bulto_max,bulto_moda,bulto_min,kilo_max,kilo_moda,kilo_min
2026-09-04,hortalizas,PACK CHOY,Prom.Esp.,,,0,,,,0,8500,0,0,2833.33,0
2026-09-04,hortalizas,PAPA,AGATA,BRASIL,BO,25,1A,MEDIANO,LAV,40000,39000,38000,1600,1560,1520
2026-09-04,hortalizas,PAPA,SPUNTA,CORDOBA,BO,18,2A,MEDIANO,,20000,19500,19000,1111.11,1083.33,1055.56
2026-09-04,hortalizas,PAPA,SPUNTA,SE BS.AS,BO,18,2A,MEDIANO,,17000,16000,15000,944.44,888.89,833.33
2026-09-04,hortalizas,PAPA,SPUNTA,SE BS.AS,BO,18,2A,MEDIANO,CEP,20000,19500,18000,1111.11,1083.33,1000
2026-09-04,hortalizas,PAPA,SPUNTA,V.DOLOR.,BO,18,2A,MEDIANO,,19500,19000,18000,1083.33,1055.56,1000
2026-09-04,hortalizas,PAPA,Prom.Esp.,,,0,,,,0,22600,0,0,1134.22,0
2026-09-04,hortalizas,PEPINO,,CTES.,TO,18,1A,MEDIANO,INV,25000,23000,20000,1388.89,1277.78,1111.11
2026-09-04,hortalizas,PEPINO,,SALTA,TO,18,1A,MEDIANO,,23000,21000,18000,1277.78,1166.67,1000
2026-09-04,hortalizas,PEPINO,,SALTA,TO,18,1A,MEDIANO,INV,27000,25000,24000,1500,1388.89,1333.33
2026-09-04,hortalizas,PEPINO,Prom.Esp.,,,0,,,,0,23000,0,0,1277.78,0
2026-09-04,hortalizas,PEREJIL,,BS. AS.,JA,10,1A,GRANDE,,13000,10000,9000,1300,1000,900
2026-09-04,hortalizas,PEREJIL,,BS. AS.,JA,10,1A,MEDIANO,,9000,8000,7000,900,800,700
2026-09-04,hortalizas,PEREJIL,,SGO.EST.,PE,10,1A,MEDIANO,,8000,7000,6000,800,700,600
2026-09-04,hortalizas,PEREJIL,Prom.Esp.,,,0,,,,0,8333.3,0,0,833.33,0
2026-09-04,hortalizas,PIMIENTO,JALAPEÑO,CTES.,PE,5,1A,MEDIANO,ROJ,18000,16000,15000,3600,3200,3000
2026-09-04,hortalizas,PIMIENTO,JALAPEÑO,SALTA,BA,4,1A,GRANDE,VER,14000,13000,11000,3500,3250,2750
2026-09-04,hortalizas,PIMIENTO,JALAPEÑO,SALTA,BA,4,1A,MEDIANO,ROJ,17000,15000,14000,4250,3750,3500
2026-09-04,hortalizas,PIMIENTO,MORRON,CTES.,TO,8,1A,GRANDE,R/I,30000,28000,27000,3750,3500,3375
2026-09-04,hortalizas,PIMIENTO,MORRON,CTES.,TO,8,1A,GRANDE,V/I,18000,17000,15000,2250,2125,1875
2026-09-04,hortalizas,PIMIENTO,MORRON,CTES.,TO,8,1A,MEDIANO,R/I,24000,23000,18000,3000,2875,2250
2026-09-04,hortalizas,PIMIENTO,MORRON,CTES.,TO,8,1A,MEDIANO,V/I,14000,13000,11000,1750,1625,1375
2026-09-04,hortalizas,PIMIENTO,MORRON,SALTA,PE,10,1A,GRANDE,R/I,47000,45000,43000,4700,4500,4300
2026-09-04,hortalizas,PIMIENTO,MORRON,SALTA,PE,10,1A,GRANDE,V/I,28000,25000,23000,2800,2500,2300
2026-09-04,hortalizas,PIMIENTO,MORRON,SALTA,PE,10,1A,MEDIANO,R/I,38000,36000,34000,3800,3600,3400
2026-09-04,hortalizas,PIMIENTO,MORRON,SALTA,PE,10,1A,MEDIANO,V/I,24000,22000,19000,2400,2200,1900
2026-09-04,hortalizas,PIMIENTO,VINAGRE,SALTA,PE,10,1A,MEDIANO,VER,20000,18000,16000,2000,1800,1600
2026-09-04,hortalizas,PIMIENTO,Prom.Esp.,,,0,,,,0,22583,0,0,2910.42,0
2026-09-04,hortalizas,PUERRO,,BS. AS.,AT,1,1A,MEDIANO,,2000,1600,1500,2000,1600,1500
2026-09-04,hortalizas,PUERRO,,BS. AS.,JA,10,1A,MEDIANO,,18000,15000,13000,1800,1500,1300
2026-09-04,hortalizas,PUERRO,Prom.Esp.,,,0,,,,0,8300,0,0,1550,0
2026-09-04,hortalizas,RABANITO,,BS. AS.,TT,5,1A,,,14000,12000,11000,2800,2400,2200
2026-09-04,hortalizas,RABANITO,Prom.Esp.,,,0,,,,0,12000,0,0,2400,0
2026-09-04,hortalizas,RADICCHIO,,MENDOZA,PE,5,1A,MEDIANO,,24000,22000,20000,4800,4400,4000
2026-09-04,hortalizas,RADICCHIO,Prom.Esp.,,,0,,,,0,22000,0,0,4400,0
2026-09-04,hortalizas,RADICHETA,1ER.CORTE,BS. AS.,BA,3,1A,,,7000,6000,5000,2333.33,2000,1666.67
